cricsheet_match_id,source_url,source_title,legacy_sequence,coding_standard,reaudit_status,original_pitch_primary_category,original_batting_ease,original_pace_seam_support,original_spin_support,original_bounce_profile,original_two_paced_expected,original_dew_expected,reaudited_pitch_primary_category,reaudited_batting_ease,reaudited_pace_seam_support,reaudited_spin_support,reaudited_bounce_profile,reaudited_two_paced_expected,reaudited_dew_expected,reviewed_at_utc,reviewer_id,effect_evidence_note,review_note
1022371,https://www.icc-cricket.com/news/advantage-england-but-that-counts-for-little,"Advantage England, but that counts for little",11,legacy_pre_explicit_source_only,passed_revised,spin,1,,1,,,,spin,,,1,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source says reuse and wear could give spinners a bigger role, while short straight boundaries could negate that assistance.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1431088,https://www.crictracker.com/cricket-previews/ireland-vs-south-africa-match-preview-1st-odi/,"IRE vs SA Match Preview, 1st ODI: Head to Head records, pitch report and more",12,legacy_pre_explicit_source_only,passed_unchanged,pace_seam,1,1,,,,,pace_seam,1,1,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly says the surface helps seamers early and later becomes flat in a way that helps batters.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1490232,https://www.business-standard.com/cricket/news/india-vs-new-zealand-2nd-odi-rajkot-pitch-report-key-stadium-stats-126011300726_1.html,"India vs New Zealand 2nd ODI: Rajkot pitch report, key stadium stats",13,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,standard,,,batting_friendly,2,,,standard,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source expects the pitch to heavily favour batters in a high-scoring match and explicitly describes consistent bounce and steady carry.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1020037,https://www.icc-cricket.com/news/new-zealand-v-south-africa-4th-odi-hamilton-preview,"New Zealand v South Africa, 4th ODI, Hamilton – Preview",14,legacy_pre_explicit_source_only,passed_unchanged,spin,,,2,,,,spin,,,2,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source explicitly links an added offspinner to the Hamilton surface, which it says provided considerable turn earlier in the series.",Re-opened eligible pre-match source and applied explicit-source-only rule.
932855,https://www.cricket.com.au/news/3272889/history-points-to-runs-fest-in-st-kitts,History points to runs-fest in St Kitts,15,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source predicts high scoring and says venue history suggests runs will flow more freely.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1144485,https://www.icc-cricket.com/tournaments/cricketworldcup/news/confident-new-zealand-ready-to-kick-off-their-world-cup-campaign,Confident New Zealand ready to kick-off their World Cup campaign,16,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly expects a full match with lots of runs after both completed warm-ups exceeded 300.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1020013,https://www.cricket.com.au/news/3287986,Starc returns to NZ happy hunting ground,17,legacy_pre_explicit_source_only,passed_unchanged,pace_seam,,2,,,,,pace_seam,,2,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source explicitly predicts pace-friendly conditions with swing, lateral movement, and some nip in the wicket.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1174239,https://dailytimes.com.pk/368951/pakistan-take-on-australia-in-second-odi-today/,Pakistan take on Australia in second ODI today,18,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,0,1,,,,batting_friendly,2,0,1,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source says high scoring and aggressive batting will be required, with a hint of slow spin and little to nothing for pacers.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1203674,https://cricketireland.ie/news/match-preview-ireland-v-west-indies-2nd-odi/,MATCH PREVIEW: Ireland v West Indies (2nd ODI),19,legacy_pre_explicit_source_only,passed_revised,pace_seam,0,1,,steep,,,unknown,,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source expects generic early help for bowlers after showers but does not explicitly attribute it to pace/seam or state current batting or bounce effects.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1001371,https://www.cricket.com.au/news/3279017/pace-on-the-menu-as-rivalry-resumes,Pace on the menu as rivalry resumes,20,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly says to expect plenty of runs after six consecutive venue ODIs produced 300-plus scores.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1507717,https://cricketaddictor.com/cricket-news/sl-vs-eng-2nd-odi-preview-free-live-streaming-pitch-weather-report-head-to-head-stats-records-england-tour-of-sri-lanka-2026-380450/,"SL vs ENG 2nd ODI Preview: Free Live Streaming, Pitch & Weather Report, Head-to-Head, Stats & Records",21,legacy_pre_explicit_source_only,passed_revised,spin,1,0,2,standard,,,spin,1,0,2,standard,1,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source says batters can score freely early with good bounce, then the pitch slows and gives increasing grip and turn to spinners, with little pace/seam help.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1388393,https://www.mykhel.com/cricket/bangladesh-vs-sri-lanka-asia-cup-2023-kandy-stadium-pitch-report-weather-forecast-230193.html,"Bangladesh vs Sri Lanka, Asia Cup 2023: Pallekele International Cricket Stadium Pitch Report & Weather Forecast",22,legacy_pre_explicit_source_only,passed_revised,balanced,1,1,1,,,,unknown,,1,1,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source states that quick bowlers receive early assistance and slower bowlers are favoured later, without stating a dominant primary effect or batting ease.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1022351,https://www.icc-cricket.com/news/preview-sri-lanka-v-south-africa,Preview: Sri Lanka v South Africa,23,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,standard,,,batting_friendly,2,,,standard,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source explicitly calls the pitch a batter’s paradise, describes even bounce, and gives a 340–350 par expectation.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1384422,https://www.telegraphindia.com/sports/cricket/pakistan-vs-bangladesh-eden-gardens-pitch-likely-to-aid-quicks-with-extra-bounce/cid/1976525,Pakistan vs Bangladesh: Eden Gardens pitch likely to aid quicks with extra bounce,24,legacy_pre_explicit_source_only,source_unavailable,pace_seam,,2,,steep,,,,,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,,"Re-open attempt returned HTTP 403, so the legacy codes cannot yet be verified against source content."
1388403,https://www.thedailystar.net/star-multimedia/sports-multimedia/asia-cup-2023/news/nasum-tigers-opt-bowl-against-sl-3414611,Nasum in as Tigers opt to bowl against SL,25,legacy_pre_explicit_source_only,passed_revised,balanced,2,1,1,,,,batting_friendly,2,,1,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Toss-time source calls it a good batting track and explicitly expects some turn; generic movement under lights was not assigned to pace/seam.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1276908,https://www.business-standard.com/article/sports/eng-vs-ind-2nd-odi-pitch-report-and-weather-update-of-lord-s-london-122071301195_1.html,"ENG vs IND 2nd ODI: Pitch Report and Weather Update of Lord's, London",26,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,2,,,,,pace_seam,,2,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Source explicitly says the Lord’s pitch supports swing bowlers and that the match wicket and low temperatures will help bowling and swing.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1030219,https://www.hindustantimes.com/cricket/india-vs-nz-cool-dharamsala-could-offer-slight-advantage-to-medium-pacers/story-Jv52G9MTn6UMOuN7qVy6AI.html,India vs NZ: Cool Dharamsala could offer slight advantage to medium pacers,27,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,1,,,,,pace_seam,,1,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Source says cooler temperatures might help pacers obtain more purchase and swing; grass and possible belter wording were not independently converted into effects.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1466414,https://www.mykhel.com/cricket/champions-trophy-2025-pakistan-vs-new-zealand-pak-vs-nz-pitch-and-weather-forecast-karachi-stadium-341833.html,"Champions Trophy 2025: Pakistan vs New Zealand, PAK vs NZ Pitch and Weather Forecast- Karachi National Stadium Report",28,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,1,,standard,,,batting_friendly,2,1,,standard,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls the pitch favourable for batters with good bounce/carry, brief new-ball help for fast bowlers, and increasingly easy batting later.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1496581,https://www.mykhel.com/cricket/india-vs-england-3rd-odi-lords-weather-forecast-pitch-report-probable-xis-and-match-preview-447347.html,"Who Has the Edge at Lord's? Weather, Pitch and Team News for IND vs ENG Decider",29,legacy_pre_explicit_source_only,passed_revised,balanced,2,2,1,steep,,,balanced,1,2,1,variable,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls Lord’s balanced and explicitly expects early seam and extra bounce, easier later batting, and later grip and variable bounce for spin.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1496580,https://www.business-standard.com/amp/cricket/news/england-vs-india-2nd-odi-playing-11-live-time-ist-cardiff-stadium-stats-126071600275_1.html,"England vs India 2nd ODI Playing 11, live time (IST), Cardiff Stadium stats",30,legacy_pre_explicit_source_only,passed_revised,balanced,1,2,1,standard,,,pace_seam,,2,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source explicitly says Cardiff can provide early movement, bounce, and carry to fast bowlers; it does not state later spin or batting effects.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1496579,https://www.business-standard.com/cricket/news/eng-vs-ind-1st-odi-where-to-watch-live-streaming-of-today-s-cricket-match-126071300656_1.html,ENG vs IND 1st ODI: Where to watch live streaming of today's cricket match?,31,legacy_pre_explicit_source_only,passed_revised,pace_seam,2,2,1,standard,,,pace_seam,,2,1,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Toss-time source explicitly says fast bowlers may be helped early and spin may enter later; grass, moisture, and generic “good surface” wording were not converted into effects.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1538298,https://www.thedailystar.net/sports/cricket/news/tigers-bank-pacers-after-test-setback-4216626,Tigers bank on pacers after Test setback,32,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,,,,,,unknown,,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Source states only that Harare generally produces high-scoring ODIs; historical venue scoring was not converted into a target-pitch batting effect.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1532482,https://www.thedailystar.net/sports/cricket/news/labuschagne-looking-salvage-pride-dead-rubber-4197761,Labuschagne looking to salvage pride in dead rubber,33,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,2,,standard,,,unknown,,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source describes more pace and bounce than prior slow, low venues but does not explicitly state pace/seam bowling support or a codable bounce profile.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1535647,https://www.dawn.com/news/2004997,"Series on the line as Pakistan, Australia brace for Lahore decider",34,legacy_pre_explicit_source_only,passed_revised,spin,1,0,2,,1,,spin,,0,2,,1,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Coach explicitly expects spin rather than quick wickets for the decider, after describing the series surface type as slow/sluggish.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1535646,https://www.dawn.com/news/2004513,Pakistan eye series as Australia seek spin solution in Lahore,35,legacy_pre_explicit_source_only,passed_revised,spin,1,,2,,,,spin,1,,1,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Player explicitly expects a similar wicket with some turn; the report also says a potentially batting-friendly surface may be offered.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1528274,https://www.thedailystar.net/sports/cricket/news/beauty-pitch-puzzle-awaits-series-decider-4158331,‘Beauty’ of pitch puzzle awaits series decider,36,legacy_pre_explicit_source_only,passed_revised,balanced,,1,1,standard,,,unknown,,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source emphasizes uncertainty: initial pace-and-bounce impressions may not translate, and it states no definite target-match bowling or batting effect.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1507716,https://crickettimes.com/2026/01/sl-vs-eng-pitch-report-for-1st-odi-r-premadasa-stadium-stats-and-records/,"SL vs ENG: Pitch Report for 1st ODI, R.Premadasa Stadium Stats and Records",37,legacy_pre_explicit_source_only,passed_revised,spin,1,,2,,,,spin,,,2,,1,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source expects significant grip and turn, a spin-dominated middle phase, and a surface that slows and sticks under lights.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1490233,https://www.business-standard.com/amp/cricket/news/india-vs-new-zealand-3rd-odi-indore-pitch-report-key-stadium-stats-126011700947_1.html,"India vs New Zealand 3rd ODI: Indore pitch report, key stadium stats",38,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source explicitly expects a batting-friendly, high-scoring match with easier early run scoring.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1490231,https://www.business-standard.com/cricket/news/india-vs-new-zealand-1st-odi-vadodara-pitch-report-key-stadium-stats-126011000363_1.html,"India vs New Zealand 1st ODI: Vadodara pitch report, key stadium stats",39,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,0,1,standard,,,batting_friendly,2,0,1,standard,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source expects a batting-friendly high-total surface with true bounce, minimal early pace help, and slight later turn for spinners.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1479575,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-visakhapatnam-aca-vdca-cricket-stadium-pitch-report-weather-forecast-match-update-10404167/,"IND vs SA 3rd ODI Visakhapatnam ACA-VDCA Cricket Stadium Pitch Report, Weather Update",40,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,1,batting_friendly,2,,,,,1,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Source explicitly expects another high-scoring match and expects dew after sunset.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1479574,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-raipur-shaheed-veer-narayan-singh-international-stadium-pitch-report-weather-forecast-10398416/,"IND vs SA, 2nd ODI: What to expect from Raipur pitch and weather during India vs South Africa?",41,legacy_pre_explicit_source_only,passed_revised,balanced,1,2,0,,,,balanced,,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,Source explicitly expects a sporting wicket and fair bat-ball contest; historical pace-over-spin results were not converted into target-match support fields.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1479573,https://indianexpress.com/article/sports/cricket/india-vs-south-africa-ranchi-jsca-international-stadium-pitch-report-weather-forecast-match-update-10393073/,IND vs SA 1st ODI: What will the conditions be like at Ranchi for India vs South Africa?,42,legacy_pre_explicit_source_only,passed_revised,balanced,1,1,2,standard,,1,balanced,1,1,2,standard,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls the pitch nearly balanced with a slight batting tilt, says bounce/carry help pacers, and expects increasing grip and turn for spin; dew is only conditional.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1491729,https://cricketaddictor.com/cricket-news/nz-vs-wi-weather-report-pitch-report-of-mclean-park-napier-2nd-odi-west-indies-tour-of-new-zealand-2025-296615/,"NZ vs WI Weather Report, Pitch Report Of McLean Park, Napier- 2nd ODI, West Indies Tour of New Zealand 2025",43,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,0,standard,,,batting_friendly,2,1,,standard,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source expects good high-scoring batting conditions, reliable pace and bounce after the first hour, and some pacer help.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1502169,https://cricketaddictor.com/cricket-news/pak-vs-sl-weather-report-pitch-report-of-rawalpindi-3rd-odi-sri-lanka-tour-of-pakistan-2025-291362/,"PAK vs SL Weather Report, Pitch Report Of Rawalpindi- 3rd ODI, Sri Lanka Tour of Pakistan 2025",44,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,0,standard,,1,batting_friendly,2,1,0,,,1,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source expects good batting, first-hour help for fast bowlers, little spinner influence, and possible second-innings dew; it does not state a bounce profile.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1502167,https://crickettimes.com/2025/11/pakistan-vs-sri-lanka-2025-rawalpindi-pitch-report-odi-stats-and-records/,"Pakistan vs Sri Lanka 2025: Rawalpindi Pitch Report, ODI Stats and Records",45,legacy_pre_explicit_source_only,passed_revised,balanced,1,2,1,standard,,1,balanced,1,2,,standard,,1,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls the surface a fine bat-ball balance with good bounce/carry, early swing and seam for fast bowlers, and significant dew that eases later batting.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1501899,https://www.dawn.com/news/1953418/pakistan-seek-odi-series-win-as-sa-eye-comeback,Pakistan seek ODI series win as South Africa eye comeback,46,legacy_pre_explicit_source_only,passed_revised,spin,1,1,2,variable,1,1,spin,1,,2,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source explicitly expects batters to be favoured early and spinners to play a key role later; prior-match swing, dew, and variable behavior were not carried into target codes.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1491720,https://crickettimes.com/2025/10/nz-vs-eng-pitch-report-for-1st-odi-bay-oval-stats-and-records/,"NZ vs ENG: Pitch Report for 1st ODI, Bay Oval Stats and Records",47,legacy_pre_explicit_source_only,passed_revised,balanced,1,,1,standard,1,,balanced,1,,,standard,1,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls Bay Oval balanced, expects true-bounce early batting opportunity, and says the surface slows with bowlers gaining influence later.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1478906,https://indianexpress.com/article/sports/cricket/india-vs-australia-3rd-odi-sydney-cricket-ground-pitch-report-weather-update-ind-vs-aus-10324904/,"IND vs AUS 3rd ODI Pitch Report, Weather Update: Will rain affect India vs Australia match at Sydney?",48,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,1,standard,,,batting_friendly,2,1,1,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls Sydney traditionally conducive to batting, expects some help for seamers and spinners, and says batting improves under lights; no bounce profile is stated.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1478905,https://indianexpress.com/article/sports/cricket/india-vs-australia-2nd-odi-adelaide-oval-stadium-pitch-report-weather-update-ind-vs-aus-10320531/lite/,IND vs AUS 2nd ODI: Will rain affect India vs Australia match at Adelaide Oval?,49,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,0,standard,,,batting_friendly,1,,,,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source says Adelaide batting could be favoured; historical pacer results, boundary size, and surface descriptors were not converted into additional effects.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1448354,https://crickettimes.com/2025/09/eng-vs-sa-2025-pitch-report-for-the-1st-odi-headingley-stats-and-records/,"ENG vs SA 2025: Pitch Report for the 1st ODI, Headingley Stats and Records",50,legacy_pre_explicit_source_only,passed_revised,balanced,1,2,0,standard,,,balanced,1,2,1,standard,,,2026-09-13T08:39:38Z,ai_assisted_reaudit_01,"Source calls Headingley balanced, expects early seam and good true bounce/carry, easier later batting, and only limited later turn for spin.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1492822,https://cricketaddictor.com/cricket-news/zim-vs-sl-weather-report-pitch-report-of-harare-2nd-odi-sri-lanka-tour-of-zimbabwe-2025-198625/,"ZIM vs SL Weather Report, Pitch Report Of Harare- 2nd ODI, Sri Lanka Tour of Zimbabwe 2025",51,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,2,,variable,1,,batting_friendly,1,2,,,,,2026-09-13T08:42:23Z,ai_assisted_reaudit_01,Source expects good batting after early movement and explicitly forecasts early bowling help; prior-match end-to-end bounce differences were not carried into target codes.,Source reopened and coded under explicit_source_only_v1; unsupported legacy fields were blanked.
1492821,https://cricketaddictor.com/cricket-news/zim-vs-sl-weather-report-pitch-report-of-harare-1st-odi-sri-lanka-tour-of-zimbabwe-2025-193054/,"ZIM vs SL Weather Report, Pitch Report Of Harare - 1st ODI, Sri Lanka Tour of Zimbabwe 2025",52,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,2,,standard,,,balanced,1,,,,,,2026-09-13T08:42:23Z,ai_assisted_reaudit_01,"Source expects early generic bowling assistance, easier batting later, and a bat-ball tussle; it does not identify a bowling type or bounce profile.",Source reopened and coded under explicit_source_only_v1; unsupported legacy fields were blanked.
1478903,https://economictimes.indiatimes.com/news/sports/aus-vs-sa-3rd-odi-great-barrier-reef-arena-weather-updates-pitch-report-of-australia-vs-south-africa-cricket-match/articleshow/123476506.cms,Australia vs South Africa 3rd ODI: How will the pitch and weather play at the Great Barrier Reef Arena in Mackay?,53,legacy_pre_explicit_source_only,passed_revised,slow_two_paced,1,2,,,1,,balanced,1,2,,,,,2026-09-13T08:42:23Z,ai_assisted_reaudit_01,"Source expects a batting-friendly first innings, tougher later batting, and pacer assistance throughout; it does not state two-paced behavior.",Source reopened and coded under explicit_source_only_v1; unsupported legacy fields were blanked.
